id,track_id,track_name,artist_id,artist_name,release_id,release_name,explicit,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,0009Q7nGlWjFzSjQIo9PmK,"Me Tarzan, You Jane",['30q5mqJmdYPaKabPMytzvv'],['The Intruders'],0IpED0lu5CdYg4LXzJgK3h,Super Hits,False,13,0.325,0.466,139800,0.377,0.0,2,0.0832,-12.07,1,0.0422,121.321,4,0.78
1,000EFWe0HYAaXzwGbEU3rG,What You Do,"['3kqsHzwkLANM95Ohcf6V9d', '106TTQKX6Wt9uMzhWmBLVr']","['Alex Raider', 'Joe Lukketti']",1cAGT5CbAc47pjnfWffvVE,"4 Years Of Kaleydo Records, Vol.2",False,0,0.0377,0.75,382293,0.836,0.909,11,0.0324,-7.314,0,0.0505,124.992,4,0.416
2,000G1xMMuwxNHmwVsBdtj1,Will Anything Happen,['4tpUmLEVLCGFr93o8hFFIB'],['Blondie'],4M6s2jbhKWEcOdXZ8WiHts,Parallel Lines,False,33,0.0131,0.256,182347,0.895,0.000106,2,0.0821,-4.86,1,0.0707,191.307,4,0.555
3,000GyYHG4uWmlXieKLij8u,The Waitress,['1GAS0rb4L8VTPvizAx2O9J'],['Atmosphere'],1ElBBA0IfMNCoHH5HobxoQ,"When Life Gives You Lemons, You Paint That Shit Gold",True,44,0.469,0.797,180160,0.898,0.0,1,0.0824,-5.922,0,0.52,89.926,4,0.146
4,000HmzbYBg0Uxe6cE47Tws,Exhuming McCarthy - Live,['4KWTAlx2RvbpseOGMEmROg'],['R.E.M.'],4eoeIPvcO9RCp1u5hcui7K,Green (25th Anniversary Deluxe Edition),False,18,0.0113,0.394,193547,0.968,6.11e-05,1,0.981,-3.698,1,0.121,129.346,4,0.8
5,000Npgk5e2SgwGaIsN3ztv,Mere Hamsafar,['2fi9hpqNbi5neTbKSqG0vW'],['Talat Mahmood'],5a9TL04dI5GWNzynngFW12,Malkin (Original Motion Picture Soundtrack),False,0,0.98,0.277,206972,0.145,0.879,3,0.111,-19.898,1,0.0845,75.644,4,0.494
6,000OJYYsNv9b3nSuVgnPfZ,Josephine,['0wi4yTYlGtEnbGo4ltZTib'],"[""Shakin' Stevens""]",2tPjxzMLsZnEBlsfsqnXMl,Give Me Your Heart Tonight,False,14,0.00745,0.451,184360,0.951,0.000159,5,0.234,-2.251,1,0.0719,174.11,4,0.859
7,000OZSXg8FOXqVagu0k7Bd,Take Me to Church (Workout Mix),['0LUP5x8tnHPlAGD9vw09vn'],['Work This! Workout'],4949UwlZKXp7YsKGnM7vzv,"Work This! Workout Hits! 2017 (Unmixed Workout Music Ideal for Gym, Cardio, Fitness, Running, Cycling and Jogging)",False,0,0.00479,0.508,251449,0.859,0.000137,4,0.11,-7.239,0,0.0363,132.009,4,0.542
8,000PPLa4fF9AIbskVjWUJp,Cuentas Mochas,['6w06M4MkjkZTR3KYRtknUE'],['Pedro Rivera'],2ECnocg584ilTQftG0NZYt,Corridos de Hierba,False,4,0.49,0.631,140201,0.73,0.0,2,0.186,-7.011,1,0.0715,115.937,4,0.845
9,000QJxv5oyExm7Eo4BgsbS,Reasons Revealed,['7pDnkvo4I1Esv7dZ4WFKv7'],['Dreamtale'],1HnP3JyAOlcsUuKvpgOu7n,Epsilon,False,19,0.0126,0.399,288267,0.652,0.0,7,0.231,-4.353,0,0.0319,129.994,4,0.119
10,000ToVSP4siPnfvwbDQRX9,It's A Bitter Pill To Swallow,['3koiLjNrgRTNbOwViDipeA'],['Marvin Gaye'],2XyETlDqp6hhi2j8XiWS4u,M.P.G.,False,14,0.149,0.757,191333,0.534,0.0,3,0.0468,-11.462,0,0.0324,132.617,4,0.964
11,000TqGTOAZjAIFU6SjmFmc,Northern Star (ASOT 895),"['0aoGTQHYJ47lqnBe9ttCp5', '5T8x61HRsjZo0CwH1rs6Kf']","['RAM', 'Susana']",6pDXJo1S0LJSMejmjaFSUw,ASOT 895 - A State Of Trance Episode 895 (Top 50 Of 2018 Special),False,7,3.55e-05,0.399,336100,0.898,0.306,4,0.219,-10.859,0,0.0743,137.949,4,0.0529
12,000U7VJzLWjyk6J8lFqnMZ,Interlude: Toilet Bowl Shawty (feat. Mike Epps),"['13y7CgLHjMVRMDqxdx0Xdo', '2j9o2nPQjfuSyGgeqAn6q4']","['Gucci Mane', 'Mike Epps']",0VeraxKSlJGusnOHYGOtWq,The State vs. Radric Davis (Deluxe),True,22,0.824,0.585,74040,0.557,0.0,8,0.728,-10.027,1,0.822,110.274,3,0.779
13,000YQKKl6mB5mJ38Rm4q1V,Wouldn't You Agree,"['0IF46mUS8NXjgHabxk2MCM', '0SfGzQxVl382IOqo7jSafx']","['Kelis', 'Justin Vince']",2VQFbPduHKk3SAyczWfpok,Kaleidoscope,False,12,0.418,0.682,272173,0.366,4.54e-06,5,0.317,-8.346,0,0.025,98.963,4,0.419
14,000ZxLGm7jDlWCHtcXSeBe,Torpedo Juice,['7MiRMD4od8lrhJ8sd0etP0'],"['Meade ""Lux"" Lewis']",4NClrcNBoeqlXCYEoDfMeW,Cat House Piano,False,3,0.795,0.685,314667,0.483,0.878,2,0.113,-10.202,0,0.0337,97.694,4,0.854
15,000ioQimOO4F9cmPP2OMf3,Do You Feel (Like I Do),['7MDgUmTuO3OrQU9tDJAPke'],['Jim Clarke'],3qu0pJsDXyeKfG3YKki6ZT,Twenty Five Years on the Noom (25 Years of Noom Records),False,0,0.025,0.707,447027,0.86,0.812,6,0.139,-9.501,0,0.0441,147.049,4,0.564
16,000j3FwREid2RIpm6nTLn9,Venus 샛별,['5qgNxAqFqHpGVqZQHvrm17'],['Rainbow note'],70zQXUoP3iBxwdGxTFM5ya,Venus 샛별,False,37,0.117,0.675,212138,0.829,0.000844,6,0.265,-2.962,0,0.0455,108.914,4,0.694
17,000jBcNljWTnyjB4YO7ojf,Me Quieres Perjudicar,['3cM6lCTVP4FEIExql5ehur'],['Trio Maravilla'],1wE5kVkxTnUSEhqYq1BOmd,Que Maravilla!,False,0,0.656,0.788,179747,0.808,0.0,5,0.154,-6.59,1,0.0395,113.046,4,0.969
18,000jpklwDcmKGIBYEHHcZC,Stop The Bleeding,['0fLXjcDroHESf6i3iUpNDA'],['Neurotech'],6aI5rMZZsCbjNlIM2s9xZ2,Solace,False,26,0.00513,0.512,304393,0.671,0.74,2,0.355,-7.745,0,0.0385,140.037,4,0.0608
19,000mGrJNc2GAgQdMESdgEc,"Symphony in B-Flat Major, Op. 20: II. Très lent - Un peu plus vite","['4dadMoMQOTGa96FlnhEzCi', '5fL4LVKRLKkyN1Xalpt0xx']","['Ernest Chausson', 'Pierre Monteux']",4bItTskYxH3Q6TgwIi1Uj0,"Chausson: Symphony in B-Flat Major, Op. 20",False,0,0.302,0.0753,498560,0.15,0.884,2,0.121,-16.705,0,0.0371,76.558,3,0.0351
20,000n71UgbZWArxdVXbZyLp,Then Came the Children,['763opp15PhfHpEaiVjM6m7'],['Jerry Jeff Walker'],7BsSakXC46SwIv1ehp7nfS,Lone Wolf:The Best Of Jerry Jeff Walker/Elektra Sessions,False,3,0.883,0.507,230933,0.181,0.00238,11,0.335,-15.005,1,0.0342,126.279,4,0.378
21,000py0jh5yT85aczhQ9QQQ,Trap,['3gDIEtaiNBM8jez8vlnQEX'],['Blakk Boii Frazzle'],2pgImUM4vklHQQ1p5MJeGD,Year 2014,False,0,0.013,0.66,164598,0.74,0.849,2,0.296,-10.232,1,0.0364,139.984,4,0.445
22,000rSvYFyzERahYbYaXHnV,Riders To The Stars - Digitally Remastered: 1992,['3alW3LYQS8K29z8C8NSLIX'],['Barry Manilow'],3qKy1BQdCqyAfrhgtqCdqv,The Complete Collection...And Then Some,False,6,0.523,0.313,292000,0.944,0.00273,4,0.984,-8.894,1,0.232,145.568,4,0.526
23,000u1dTg7y1XCDXi80hbBX,I Don't Want A Lover,['5JsdVATHNPE0XdMFMRoSuf'],['Texas'],4MRXIM0Pd5mjmIiRugjRcj,Southside,False,58,0.196,0.756,300600,0.47,0.000487,7,0.126,-12.615,1,0.0394,120.484,4,0.43
